Country,GDP_USD_millions,GDP_USD_billions
United States,"26,854,599",26854.6
China,"19,373,586",19373.59
Japan,"4,409,738",4409.74
Germany,"4,308,854",4308.85
India,"3,736,882",3736.88
United Kingdom,"3,158,938",3158.94
France,"2,923,489",2923.49
Italy,"2,169,745",2169.74
Canada,"2,089,672",2089.67
Brazil,"2,081,235",2081.24
Russia,"2,062,649",2062.65
South Korea,"1,721,909",1721.91
Australia,"1,707,548",1707.55
Mexico,"1,663,164",1663.16
Spain,"1,492,432",1492.43
Indonesia,"1,391,778",1391.78
Netherlands,"1,080,880",1080.88
Saudi Arabia,"1,061,902",1061.9
Turkey,"1,029,303",1029.3
Switzerland,"869,601",869.6
Taiwan,"790,728",790.73
Poland,"748,887",748.89
Argentina,"641,102",641.1
Belgium,"624,248",624.25
Sweden,"599,052",599.05
Ireland,"594,095",594.1
Thailand,"574,231",574.23
Norway,"554,105",554.1
Israel,"539,223",539.22
Singapore,"515,548",515.55
Austria,"515,199",515.2
Nigeria,"506,601",506.6
United Arab Emirates,"498,978",498.98
Vietnam,"449,094",449.09
Malaysia,"447,026",447.03
Philippines,"440,901",440.9
Bangladesh,"420,516",420.52
Denmark,"405,626",405.63
South Africa,"399,015",399.02
Hong Kong,"382,854",382.85
Egypt,"378,110",378.11
Iran,"367,970",367.97
Chile,"358,557",358.56
Romania,"348,902",348.9
Colombia,"334,689",334.69
Czech Republic,"330,483",330.48
Finland,"301,670",301.67
Peru,"268,235",268.24
Iraq,"267,893",267.89
Portugal,"267,721",267.72
New Zealand,"251,969",251.97
Kazakhstan,"245,695",245.7
Greece,"239,300",239.3
Qatar,"219,570",219.57
Algeria,"206,007",206.01
Hungary,"188,505",188.5
Kuwait,"164,713",164.71
Ethiopia,"156,083",156.08
Ukraine,"148,712",148.71
Morocco,"138,781",138.78
Slovakia,"127,533",127.53
Ecuador,"121,291",121.29
Dominican Republic,"121,289",121.29
Puerto Rico,"120,838",120.84
Kenya,"118,130",118.13
Angola,"117,877",117.88
Oman,"104,902",104.9
Guatemala,"102,309",102.31
Bulgaria,"100,635",100.64
Venezuela,"96,628",96.63
Uzbekistan,"92,332",92.33
Luxembourg,"86,971",86.97
Tanzania,"85,421",85.42
Turkmenistan,"82,649",82.65
Croatia,"78,881",78.88
Lithuania,"78,346",78.35
Costa Rica,"77,777",77.78
