Average_Rank,Film,Year
1,The Godfather,1972
2,Citizen Kane,1941
3,Casablanca,1942
4,"The Godfather, Part II",1974
5,Singin' in the Rain,1952
6,Psycho,1960
7,Rear Window,1954
8,Apocalypse Now,1979
9,2001: A Space Odyssey,1968
10,Seven Samurai,1954
11,Vertigo,1958
12,Sunset Blvd,1950
13,Modern Times,1936
14,Lawrence of Arabia,1962
15,North by Northwest,1959
16,Star Wars,1977
17,Parasite,2019
18,Schindler's List,1993
19,Lord of the Rings: The Fellowship of the Ring,2001
20,Shawshank Redemption,1994
21,It's a Wonderful Life,1946
22,Pulp Fiction,1994
23,Avengers: Endgame,2019
24,City Lights,1931
25,One Flew Over the Cuckoo's Nest,1975
26,Goodfellas,1990
27,Raiders of the Lost Ark,1981
28,12 Angry Men,1957
29,The Silence of the Lambs,1991
30,Taxi Driver,1976
31,Saving Private Ryan,1998
32,E.T. the Extra Terrestrial,1982
33,Alien,1979
34,Spider-Man: Into the Spider-verse,2018
35,Blade Runner,1982
36,Double Indemnity,1944
37,The Dark Knight,2008
38,The Wizard of Oz,1939
39,Star Wars: Episode V- The Empire Strikes Back,1980
40,The Searchers,1956
41,Mad Max: Fury Road,2015
42,Inception,2010
43,Lord of the Rings: Return of the King,2003
44,The Matrix,1999
45,Fight Club,1999
46,Back to the Future,1985
47,It Happened One Night,1934
48,"The Good, the Bad, and the Ugly",1966
49,Lord of the Rings: The Two Towers,2002
50,All About Eve,1950
51,The General,1926
52,Terminator 2: Judgement Day,1991
53,Se7en,1995
54,Raging Bull,1980
55,Interstellar,2014
56,Jaws,1975
57,Some Like it Hot,1959
58,The Philadelphia Story,1940
59,Avengers: Infinity War,2018
60,Gladiator,2000
61,On the Waterfront,1954
62,Get Out,2017
63,Moonlight,2016
64,Spirited Away,2001
65,Lady Bird,2017
66,Aliens,1986
67,Forrest Gump,1994
68,Snow White and the Seven Dwarves,1937
69,Black Panther,2018
70,Whiplash,2014
71,The Shining,1980
72,Metropolis,1927
73,The Maltese Falcon,1941
74,Chinatown,1974
75,The Best Years of Our Lives,1946
76,Mulholland Drive,2001
77,In the Mood for Love,2000
78,A Quiet Place,2018
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
80,Coco,2017
81,The Third Man,1949
82,The Usual Suspects,1995
83,La Grande Illusion,1937
84,Once Upon a Time in the West,1968
85,A Night at the Opera,1935
86,Logan,2017
87,Thor: Ragnarok,2017
88,Léon: The Professional,1994
89,King Kong,1933
90,Eternal Sunshine of the Spotless Mind,2004
91,Arrival,2016
92,Portrait of a Lady on Fire,2020
93,Nashville,1975
94,Intolerance,1916
95,La La Land,2016
96,Do the Right Thing,unranked
97,Inglourious Basterds,2009
98,The Battle of Algiers,1966
99,M,1931
100,The Wild Bunch,1969
101,Star Wars: Return of the Jedi,1983
102,A Clockwork Orange,1971
103,LA Confidential,1997
104,Titanic,1997
105,Toy Story,1995
106,Reservoir Dogs,1992
107,Paddington 2,2018
108,Amelie,2001
